time[us]	ref_X[V]	ref_Y[V]	sig_I[V]
320121881	2.3794	2.9252	2.3805
320122081	2.2603	2.9655	2.2580
320122281	2.1371	2.9906	2.1283
320122481	2.0123	2.9999	2.0066
320122681	1.8867	2.9936	1.8849
320122881	1.7630	2.9715	1.7527
320123081	1.6430	2.9341	1.6391
320123281	1.5291	2.8822	1.5231
320123481	1.4221	2.8161	1.4199
320123681	1.3243	2.7372	1.3200
320123881	1.2371	2.6466	1.2322
320124081	1.1623	2.5462	1.1572
320124281	1.1004	2.4368	1.0952
320124481	1.0527	2.3205	1.0492
320124681	1.0200	2.1991	1.0105
320124881	1.0028	2.0751	0.9993
320125081	1.0013	1.9494	0.9936
320125281	1.0155	1.8245	1.0089
320125481	1.0453	1.7024	1.0363
320125681	1.0900	1.5854	1.0815
320125881	1.1492	1.4745	1.1403
320126081	1.2218	1.3720	1.2152
320126281	1.3064	1.2796	1.3047
320126481	1.4022	1.1983	1.4030
320126681	1.5075	1.1297	1.4989
320126881	1.6206	1.0748	1.6149
320127081	1.7392	1.0346	1.7399
320127281	1.8624	1.0095	1.8511
320127481	1.9877	1.0001	1.9784
320127681	2.1133	1.0064	2.1057
320127881	2.2365	1.0284	2.2322
320128081	2.3566	1.0657	2.3507
320128281	2.4709	1.1178	2.4627
320128481	2.5779	1.1839	2.5642
320128681	2.6753	1.2625	2.6601
320128881	2.7625	1.3530	2.7262
320129081	2.8377	1.4538	2.8262
320129281	2.8996	1.5632	2.8995
320129481	2.9471	1.6790	2.9382
320129681	2.9799	1.8004	2.9728
320129881	2.9972	1.9249	2.9897
320130081	2.9987	2.0511	2.9873
320130281	2.9845	2.1755	2.9801
320130481	2.9547	2.2976	2.9551
320130681	2.9098	2.4150	2.9019
320130881	2.8508	2.5255	2.8463
320131081	2.7782	2.6280	2.7705
320131281	2.6932	2.7207	2.6634
320131481	2.5973	2.8020	2.5804
