time[us]	ref_X[V]	ref_Y[V]	sig_I[V]
269470622	2.9960	2.4366	3.0220
269470822	3.0000	2.4993	3.0268
269471022	2.9961	2.5623	3.0220
269471222	2.9844	2.6240	3.0091
269471422	2.9650	2.6837	2.9881
269471622	2.9383	2.7406	2.9575
269471822	2.9047	2.7936	2.9204
269472022	2.8647	2.8420	2.8898
269472222	2.8190	2.8850	2.8399
269472422	2.7682	2.9220	2.7851
269472622	2.7132	2.9523	2.7383
269472822	2.6548	2.9754	2.6722
269473022	2.5940	2.9911	2.6174
269473222	2.5317	2.9990	2.5497
269473422	2.4690	2.9990	2.4933
269473622	2.4067	2.9912	2.4273
269473822	2.3458	2.9756	2.3628
269474022	2.2874	2.9526	2.3064
269474222	2.2324	2.9224	2.2500
269474422	2.1816	2.8855	2.2000
269474622	2.1358	2.8425	2.1516
269474822	2.0957	2.7942	2.1130
269475022	2.0620	2.7412	2.0791
269475222	2.0352	2.6844	2.0485
269475422	2.0158	2.6247	2.0292
269475622	2.0040	2.5630	2.0211
269475822	2.0000	2.5003	2.0163
269476022	2.0039	2.4377	2.0243
269476222	2.0156	2.3760	2.0356
269476422	2.0350	2.3163	2.0517
269476622	2.0617	2.2594	2.0807
269476822	2.0953	2.2064	2.1130
269477022	2.1350	2.1582	2.1549
269477222	2.1808	2.1152	2.2016
269477422	2.2315	2.0782	2.2484
269477622	2.2865	2.0479	2.3048
269477822	2.3448	2.0247	2.3612
269478022	2.4056	2.0090	2.4240
269478222	2.4679	2.0010	2.4917
269478422	2.5307	2.0009	2.5497
269478622	2.5930	2.0087	2.6110
269478822	2.6538	2.0243	2.6722
269479022	2.7123	2.0473	2.7303
269479222	2.7673	2.0775	2.7867
269479422	2.8182	2.1143	2.8366
269479622	2.8640	2.1572	2.8914
269479822	2.9041	2.2055	2.9285
269480022	2.9378	2.2585	2.9607
269480222	2.9646	2.3153	2.9833
269480422	2.9841	2.3750	3.0075
269480622	2.9960	2.4366	3.0188
269480822	3.0000	2.4993	3.0268
269481022	2.9961	2.5623	3.0171
269481222	2.9844	2.6240	3.0075
269481422	2.9650	2.6837	2.9881
269481622	2.9383	2.7406	2.9623
269481822	2.9047	2.7936	2.9285
269482022	2.8647	2.8420	2.8850
269482222	2.8190	2.8850	2.8431
269482422	2.7682	2.9220	2.7834
269482622	2.7132	2.9523	2.7286
269482822	2.6548	2.9754	2.6706
269483022	2.5940	2.9911	2.6142
269483222	2.5317	2.9990	2.5514
269483422	2.4690	2.9990	2.4917
269483622	2.4067	2.9912	2.4256
269483822	2.3458	2.9756	2.3660
269484022	2.2874	2.9526	2.2999
269484222	2.2324	2.9224	2.2467
269484422	2.1816	2.8855	2.1968
269484622	2.1358	2.8425	2.1549
269484822	2.0957	2.7942	2.1114
269485022	2.0620	2.7412	2.0807
269485222	2.0352	2.6844	2.0533
269485422	2.0158	2.6247	2.0292
269485622	2.0040	2.5630	2.0227
269485822	2.0000	2.5003	2.0195
269486022	2.0039	2.4377	2.0227
269486222	2.0156	2.3760	2.0324
269486422	2.0350	2.3163	2.0501
269486622	2.0617	2.2594	2.0807
269486822	2.0953	2.2064	2.1194
269487022	2.1350	2.1582	2.1500
269487222	2.1808	2.1152	2.2032
269487422	2.2315	2.0782	2.2500
269487622	2.2865	2.0479	2.3096
269487822	2.3448	2.0247	2.3579
269488022	2.4056	2.0090	2.4240
269488222	2.4679	2.0010	2.4933
269488422	2.5307	2.0009	2.5530
269488622	2.5930	2.0087	2.6094
269488822	2.6538	2.0243	2.6771
269489022	2.7123	2.0473	2.7303
269489222	2.7673	2.0775	2.7899
269489422	2.8182	2.1143	2.8415
269489622	2.8640	2.1572	2.8914
269489822	2.9041	2.2055	2.9285
269490022	2.9378	2.2585	2.9575
269490222	2.9646	2.3153	2.9833
269490422	2.9841	2.3750	3.0042
269490622	2.9960	2.4366	3.0204
269490822	3.0000	2.4993	3.0204
269491022	2.9961	2.5623	3.0188
269491222	2.9844	2.6240	3.0059
269491422	2.9650	2.6837	2.9865
269491622	2.9383	2.7406	2.9607
269491822	2.9047	2.7936	2.9285
269492022	2.8647	2.8420	2.8834
269492222	2.8190	2.8850	2.8382
269492422	2.7682	2.9220	2.7818
269492622	2.7132	2.9523	2.7351
269492822	2.6548	2.9754	2.6738
269493022	2.5940	2.9911	2.6158
269493222	2.5317	2.9990	2.5497
269493422	2.4690	2.9990	2.4966
269493622	2.4067	2.9912	2.4224
269493822	2.3458	2.9756	2.3660
269494022	2.2874	2.9526	2.3015
269494222	2.2324	2.9224	2.2532
269494422	2.1816	2.8855	2.2000
269494622	2.1358	2.8425	2.1500
269494822	2.0957	2.7942	2.1114
269495022	2.0620	2.7412	2.0807
269495222	2.0352	2.6844	2.0517
269495422	2.0158	2.6247	2.0292
269495622	2.0040	2.5630	2.0195
269495822	2.0000	2.5003	2.0114
269496022	2.0039	2.4377	2.0211
269496222	2.0156	2.3760	2.0356
269496422	2.0350	2.3163	2.0501
269496622	2.0617	2.2594	2.0759
269496822	2.0953	2.2064	2.1146
269497022	2.1350	2.1582	2.1484
269497222	2.1808	2.1152	2.1984
269497422	2.2315	2.0782	2.2516
269497622	2.2865	2.0479	2.3032
269497822	2.3448	2.0247	2.3692
269498022	2.4056	2.0090	2.4256
269498222	2.4679	2.0010	2.4901
269498422	2.5307	2.0009	2.5481
269498622	2.5930	2.0087	2.6142
269498822	2.6538	2.0243	2.6755
269499022	2.7123	2.0473	2.7335
269499222	2.7673	2.0775	2.7899
269499422	2.8182	2.1143	2.8382
269499622	2.8640	2.1572	2.8866
269499822	2.9041	2.2055	2.9285
269500022	2.9378	2.2585	2.9656
269500222	2.9646	2.3153	2.9897
269500422	2.9841	2.3750	3.0026
269500622	2.9960	2.4366	3.0236
269500822	3.0000	2.4993	3.0220
269501022	2.9961	2.5623	3.0188
269501222	2.9844	2.6240	3.0123
269501422	2.9650	2.6837	2.9849
269501622	2.9383	2.7406	2.9575
269501822	2.9047	2.7936	2.9237
269502022	2.8647	2.8420	2.8850
269502222	2.8190	2.8850	2.8399
269502422	2.7682	2.9220	2.7899
269502622	2.7132	2.9523	2.7335
269502822	2.6548	2.9754	2.6722
269503022	2.5940	2.9911	2.6094
269503222	2.5317	2.9990	2.5514
269503422	2.4690	2.9990	2.4917
269503622	2.4067	2.9912	2.4224
269503822	2.3458	2.9756	2.3628
269504022	2.2874	2.9526	2.3080
269504222	2.2324	2.9224	2.2484
269504422	2.1816	2.8855	2.1984
269504622	2.1358	2.8425	2.1500
269504822	2.0957	2.7942	2.1130
269505022	2.0620	2.7412	2.0807
269505222	2.0352	2.6844	2.0533
269505422	2.0158	2.6247	2.0356
269505622	2.0040	2.5630	2.0243
269505822	2.0000	2.5003	2.0211
269506022	2.0039	2.4377	2.0243
269506222	2.0156	2.3760	2.0372
269506422	2.0350	2.3163	2.0469
269506622	2.0617	2.2594	2.0807
269506822	2.0953	2.2064	2.1178
269507022	2.1350	2.1582	2.1533
269507222	2.1808	2.1152	2.2000
269507422	2.2315	2.0782	2.2484
269507622	2.2865	2.0479	2.3064
269507822	2.3448	2.0247	2.3628
269508022	2.4056	2.0090	2.4240
269508222	2.4679	2.0010	2.4885
269508422	2.5307	2.0009	2.5514
269508622	2.5930	2.0087	2.6142
269508822	2.6538	2.0243	2.6787
269509022	2.7123	2.0473	2.7319
269509222	2.7673	2.0775	2.7867
269509422	2.8182	2.1143	2.8415
269509622	2.8640	2.1572	2.8834
269509822	2.9041	2.2055	2.9237
269510022	2.9378	2.2585	2.9623
269510222	2.9646	2.3153	2.9833
269510422	2.9841	2.3750	3.0091
269510622	2.9960	2.4366	3.0139
269510822	3.0000	2.4993	3.0188
269511022	2.9961	2.5623	3.0171
269511222	2.9844	2.6240	3.0042
269511422	2.9650	2.6837	2.9865
269511622	2.9383	2.7406	2.9607
269511822	2.9047	2.7936	2.9269
269512022	2.8647	2.8420	2.8898
269512222	2.8190	2.8850	2.8350
269512422	2.7682	2.9220	2.7867
269512622	2.7132	2.9523	2.7351
269512822	2.6548	2.9754	2.6738
269513022	2.5940	2.9911	2.6174
269513222	2.5317	2.9990	2.5530
269513422	2.4690	2.9990	2.4885
269513622	2.4067	2.9912	2.4256
269513822	2.3458	2.9756	2.3628
269514022	2.2874	2.9526	2.3015
269514222	2.2324	2.9224	2.2516
269514422	2.1816	2.8855	2.1984
269514622	2.1358	2.8425	2.1533
269514822	2.0957	2.7942	2.1130
269515022	2.0620	2.7412	2.0775
269515222	2.0352	2.6844	2.0485
269515422	2.0158	2.6247	2.0292
269515622	2.0040	2.5630	2.0179
269515822	2.0000	2.5003	2.0147
269516022	2.0039	2.4377	2.0195
269516222	2.0156	2.3760	2.0308
269516422	2.0350	2.3163	2.0549
269516622	2.0617	2.2594	2.0791
269516822	2.0953	2.2064	2.1162
269517022	2.1350	2.1582	2.1549
269517222	2.1808	2.1152	2.1936
269517422	2.2315	2.0782	2.2516
269517622	2.2865	2.0479	2.3032
269517822	2.3448	2.0247	2.3676
269518022	2.4056	2.0090	2.4224
269518222	2.4679	2.0010	2.4917
269518422	2.5307	2.0009	2.5449
269518622	2.5930	2.0087	2.6142
269518822	2.6538	2.0243	2.6722
269519022	2.7123	2.0473	2.7367
269519222	2.7673	2.0775	2.7899
269519422	2.8182	2.1143	2.8350
269519622	2.8640	2.1572	2.8850
269519822	2.9041	2.2055	2.9237
269520022	2.9378	2.2585	2.9607
269520222	2.9646	2.3153	2.9930
269520422	2.9841	2.3750	3.0026
269520622	2.9960	2.4366	3.0204
269520822	3.0000	2.4993	3.0171
269521022	2.9961	2.5623	3.0236
269521222	2.9844	2.6240	3.0059
269521422	2.9650	2.6837	2.9849
269521622	2.9383	2.7406	2.9575
269521822	2.9047	2.7936	2.9237
269522022	2.8647	2.8420	2.8834
269522222	2.8190	2.8850	2.8366
269522422	2.7682	2.9220	2.7818
269522622	2.7132	2.9523	2.7335
269522822	2.6548	2.9754	2.6706
269523022	2.5940	2.9911	2.6126
269523222	2.5317	2.9990	2.5530
269523422	2.4690	2.9990	2.4917
269523622	2.4067	2.9912	2.4256
269523822	2.3458	2.9756	2.3628
269524022	2.2874	2.9526	2.3064
269524222	2.2324	2.9224	2.2500
269524422	2.1816	2.8855	2.1968
269524622	2.1358	2.8425	2.1549
269524822	2.0957	2.7942	2.1162
269525022	2.0620	2.7412	2.0840
269525222	2.0352	2.6844	2.0501
269525422	2.0158	2.6247	2.0324
269525622	2.0040	2.5630	2.0211
269525822	2.0000	2.5003	2.0163
269526022	2.0039	2.4377	2.0227
269526222	2.0156	2.3760	2.0324
269526422	2.0350	2.3163	2.0517
269526622	2.0617	2.2594	2.0807
